Rank,State/Union territory,"Nominal GDP (Trillion INR, lakh crore)",Data year,Comparable country,Population (as per Census 2011)
1,Maharashtra,?29.79 lakh crore (US$420 billion),2019–20, United Arab Emirates,112374333
2,Tamil Nadu,?18.54 lakh crore (US$260 billion),2019–20, Portugal,72147030
3,Gujarat,?17.01 lakh crore (US$240 billion),2019–20, Portugal,60439692
4,Karnataka,?15.88 lakh crore (US$220 billion),2019–20, Peru,61095297
5,Uttar Pradesh,?15.79 lakh crore (US$220 billion),2019–20, Peru,199812341
6,West Bengal,?13.14 lakh crore (US$180 billion),2019–20, Kazakhstan,91276115
7,Andhra Pradesh,?10.80 lakh crore (US$150 billion),2019–20, Ukraine,49577103
8,Telangana,?9.69 lakh crore (US$140 billion),2019–20, Kuwait,35003674
9,Rajasthan,?9.29 lakh crore (US$130 billion),2018–19, Kuwait,68548437
10,Madhya pradesh,?9.62 lakh crore (US$130 billion),2019–20,,72626809
11,Kerala,?8.75 lakh crore (US$120 billion),2018–19, Morocco,33406061
13,Delhi,?7.79 lakh crore (US$110 billion),2018–19, Morocco,16787941
14,Bihar,?5.73 lakh crore (US$80 billion),2019-20,,104099452
18,Chhattisgarh,?3.63 lakh crore (US$51 billion),2019–20, Morocco,25545198
19,Jharkhand,?3.29 lakh crore (US$46 billion),2019–20, Morocco,32988134
20,Uttarakhand,?2.63 lakh crore (US$37 billion),2019–20, Paraguay,10086292
21,Himachal Pradesh,?1.68 lakh crore (US$24 billion),2019–20, Trinidad and Tobago,6864602
22,Jammu and Kashmir,?1.38 lakh crore (US$19 billion),2017–18, Afghanistan,12267032
23,Goa,?0.772 lakh crore (US$11 billion),2018–19, Equatorial Guinea,1458545
24,Tripura,?0.461 lakh crore (US$6.5 billion),2017–18, Maldives,3673917
25,Puducherry,?0.359 lakh crore (US$5.0 billion),2018–19, Barbados,1247953
26,Meghalaya,?0.330 lakh crore (US$4.6 billion),2018–19, Eswatini,2966889
27,Chandigarh,?0.318 lakh crore (US$4.5 billion),2016–17, Eswatini,1055450
28,Arunachal Pradesh,?0.234 lakh crore (US$3.3 billion),2017–18, Djibouti,1383727
29,Manipur,?0.231 lakh crore (US$3.2 billion),2017–18, Djibouti,2570390
30,Sikkim,?0.222 lakh crore (US$3.1 billion),2017–18, Djibouti,610577
31,Nagaland,?0.215 lakh crore (US$3.0 billion),2016–17, Djibouti,1978502
32,Mizoram,?0.176 lakh crore (US$2.5 billion),2017–18, Lesotho,1097206
33,Andaman and Nicobar Islands,?0.066 lakh crore (US$930 million),2016–17, Vanuatu,380581
