Rank,State/Union territory,"Nominal GDP (Trillion INR, lakh crore)",Data year,Comparable country,GDP per capita
1,Maharashtra,?29.79 lakh crore (US$420 billion),2019–20, United Arab Emirates,198510
2,Tamil Nadu,?18.54 lakh crore (US$260 billion),2019–20, Portugal,190659
3,Gujarat,?17.01 lakh crore (US$240 billion),2019–20, Portugal,199463
4,Karnataka,?15.88 lakh crore (US$220 billion),2019–20, Peru,205813
5,Uttar Pradesh,?15.79 lakh crore (US$220 billion),2019–20, Peru,62323
6,West Bengal,?13.14 lakh crore (US$180 billion),2019–20, Kazakhstan,102568
7,Andhra Pradesh,?10.80 lakh crore (US$150 billion),2019–20, Ukraine,158607
8,Telangana,?9.69 lakh crore (US$140 billion),2019–20, Kuwait,198994
9,Rajasthan,?9.29 lakh crore (US$130 billion),2018–19, Kuwait,110916
10,Madhya pradesh,?9.62 lakh crore (US$130 billion),2019–20,,91103
11,Kerala,?8.75 lakh crore (US$120 billion),2018–19, Morocco,203093
13,Delhi,?7.79 lakh crore (US$110 billion),2018–19, Morocco,362790
14,Bihar,?5.73 lakh crore (US$80 billion),2019-20,,41992
18,Chhattisgarh,?3.63 lakh crore (US$51 billion),2019–20, Morocco,100125
19,Jharkhand,?3.29 lakh crore (US$46 billion),2019–20, Morocco,75246
20,Uttarakhand,?2.63 lakh crore (US$37 billion),2019–20, Paraguay,202284
21,Himachal Pradesh,?1.68 lakh crore (US$24 billion),2019–20, Trinidad and Tobago,193336
22,Jammu and Kashmir,?1.38 lakh crore (US$19 billion),2017–18, Afghanistan,99962
23,Goa,?0.772 lakh crore (US$11 billion),2018–19, Equatorial Guinea,461946
24,Tripura,?0.461 lakh crore (US$6.5 billion),2017–18, Maldives,116058
25,Puducherry,?0.359 lakh crore (US$5.0 billion),2018–19, Barbados,222114
26,Meghalaya,?0.330 lakh crore (US$4.6 billion),2018–19, Eswatini,90213
27,Chandigarh,?0.318 lakh crore (US$4.5 billion),2016–17, Eswatini,333667
28,Arunachal Pradesh,?0.234 lakh crore (US$3.3 billion),2017–18, Djibouti,139617
29,Manipur,?0.231 lakh crore (US$3.2 billion),2017–18, Djibouti,72757
30,Sikkim,?0.222 lakh crore (US$3.1 billion),2017–18, Djibouti,359798
31,Nagaland,?0.215 lakh crore (US$3.0 billion),2016–17, Djibouti,115678
32,Mizoram,?0.176 lakh crore (US$2.5 billion),2017–18, Lesotho,157415
33,Andaman and Nicobar Islands,?0.066 lakh crore (US$930 million),2016–17, Vanuatu,178485
